,recipe_id,original_frames,dropped_frames
0,dish_1558629041,18,3
1,dish_1563481030,32,8
2,dish_1550781317,114,29
3,dish_1566920365,32,8
4,dish_1551564480,115,28
5,dish_1551566974,116,14
6,dish_1562699570,31,14
7,dish_1561666619,31,7
8,dish_1551374189,115,50
9,dish_1551489961,116,64
10,dish_1563910676,34,13
11,dish_1562775456,28,18
12,dish_1565119642,31,10
13,dish_1559751744,28,7
14,dish_1563551134,28,2
15,dish_1551568200,116,19
16,dish_1567007719,32,10
17,dish_1558459395,28,20
18,dish_1559841061,34,7
19,dish_1550704750,115,24
20,dish_1560888893,25,4
21,dish_1561579617,32,2
22,dish_1551317589,119,38
23,dish_1566317742,32,26
24,dish_1560800836,24,6
25,dish_1551233313,119,69
26,dish_1564000536,28,10
27,dish_1561492228,28,11
28,dish_1568405499,33,4
29,dish_1551323433,114,33
30,dish_1551399293,118,22
31,dish_1563381680,39,12
32,dish_1560455203,28,5
33,dish_1558113477,32,24
34,dish_1561661850,28,5
35,dish_1551225067,115,30
36,dish_1550705888,115,36
37,dish_1567020394,28,10
38,dish_1562961650,34,2
39,dish_1563205927,31,6
40,dish_1567625294,43,39
41,dish_1551487117,124,35
42,dish_1551488485,115,23
43,dish_1562611878,28,11
44,dish_1560456305,28,5
45,dish_1568044581,35,21
46,dish_1551226308,116,32
47,dish_1566245365,78,17
48,dish_1560368764,31,9
49,dish_1563984199,37,10
50,dish_1566402041,30,15
51,dish_1563468362,28,9
52,dish_1561575506,30,2
53,dish_1566246513,37,3
54,dish_1550874756,137,34
55,dish_1559678330,24,6
56,dish_1551493883,114,31
57,dish_1551395909,116,24
58,dish_1551494095,116,32
59,dish_1574097565,29,13
60,dish_1558719401,12,4
61,dish_1550771421,116,38
62,dish_1563566626,33,18
63,dish_1566936266,31,17
64,dish_1567711272,40,19
65,dish_1550710917,115,33
66,dish_1551375443,115,29
67,dish_1558641442,12,4
68,dish_1561577177,31,3
69,dish_1561579867,28,1
70,dish_1558722871,12,4
71,dish_1558630072,18,4
72,dish_1568056258,32,9
73,dish_1558030182,32,6
74,dish_1558724607,12,0
75,dish_1557862783,105,39
76,dish_1563222800,33,4
77,dish_1568649312,31,16
78,dish_1560801883,24,5
79,dish_1565811091,92,28
80,dish_1561661479,28,6
81,dish_1560800918,25,9
82,dish_1561578417,30,2
83,dish_1559845046,31,7
84,dish_1551321715,114,62
85,dish_1562698276,30,9
86,dish_1551567992,116,16
87,dish_1551134824,115,7
88,dish_1558630488,18,4
89,dish_1562945967,28,0
90,dish_1563567372,31,12
91,dish_1562873814,63,15
92,dish_1551380950,114,21
93,dish_1551396629,128,50
94,dish_1562784307,28,5
95,dish_1565724620,32,9
96,dish_1565640601,30,9
97,dish_1561404485,31,2
98,dish_1557937615,114,44
99,dish_1566590987,39,20
100,dish_1551125384,118,31
101,dish_1550776767,116,62
102,dish_1565034681,31,11
103,dish_1558381943,28,3
104,dish_1562009098,28,7
105,dish_1565711154,30,4
